id,name,neighbourhood,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
317,Listing 317,Bos en Lommer,Bos en Lommer area,Entire home/apt,103.71,7,236,4.44,118,3
318,Listing 318,Westerpark,Westerpark area,Entire home/apt,126.65,7,101,4.08,230,4
319,Listing 319,Oud-West,Oud-West area,Entire home/apt,114.78,1,52,4.05,274,4
320,Listing 320,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,65.83,3,250,4.4,270,7
321,Listing 321,Slotervaart,Slotervaart area,Entire home/apt,71.77,2,88,4.88,344,2
322,Listing 322,Jordaan,Jordaan area,Entire home/apt,177.74,1,122,3.77,156,3
323,Listing 323,Bos en Lommer,Bos en Lommer area,Entire home/apt,68.5,14,216,4.45,95,3
324,Listing 324,Bos en Lommer,Bos en Lommer area,Entire home/apt,75.1,1,147,3.97,71,8
325,Listing 325,Slotervaart,Slotervaart area,Entire home/apt,83.24,7,69,4.95,99,8
326,Listing 326,Westerpark,Westerpark area,Private room,54.65,14,212,4.23,363,2
327,Listing 327,Slotervaart,Slotervaart area,Entire home/apt,86.15,2,140,3.75,115,8
328,Listing 328,Slotervaart,Slotervaart area,Private room,25.92,1,253,4.36,281,5
329,Listing 329,Bos en Lommer,Bos en Lommer area,Private room,25,2,21,4.98,225,2
330,Listing 330,Oud-West,Oud-West area,Entire home/apt,152.61,2,16,4.02,230,2
331,Listing 331,Watergraafsmeer,Watergraafsmeer area,Private room,77.06,3,107,4.79,301,7
332,Listing 332,Jordaan,Jordaan area,Private room,104.59,1,105,4.36,105,5
333,Listing 333,Slotervaart,Slotervaart area,Entire home/apt,71.07,2,148,4.93,293,2
334,Listing 334,Jordaan,Jordaan area,Hotel room,155.93,2,210,4.8,30,3
335,Listing 335,Jordaan,Jordaan area,Entire home/apt,150.98,1,201,4.37,250,5
336,Listing 336,Westerpark,Westerpark area,Entire home/apt,68.54,1,38,4.1,324,5
337,Listing 337,Oost,Oost area,Entire home/apt,83.66,3,47,4.78,234,7
338,Listing 338,Oud-West,Oud-West area,Hotel room,101.98,2,108,3.98,253,5
339,Listing 339,Oost,Oost area,Entire home/apt,136.68,1,175,3.57,349,8
340,Listing 340,Centrum,Centrum area,Entire home/apt,208.62,14,80,3.5,225,7
341,Listing 341,Oud-West,Oud-West area,Hotel room,134.84,2,154,3.64,81,6
342,Listing 342,Noord,Noord area,Entire home/apt,72.71,7,84,4.44,26,4
343,Listing 343,Westerpark,Westerpark area,Private room,52.23,1,244,4.39,39,8
344,Listing 344,Centrum,Centrum area,Entire home/apt,179.11,7,175,4.54,61,8
345,Listing 345,De Pijp,De Pijp area,Entire home/apt,160.66,3,52,4.82,160,3
346,Listing 346,Westerpark,Westerpark area,Private room,71.78,1,68,3.6,328,1
347,Listing 347,Slotervaart,Slotervaart area,Private room,25,14,77,4.79,210,2
348,Listing 348,De Pijp,De Pijp area,Entire home/apt,141.77,7,63,4.03,301,7
349,Listing 349,Oost,Oost area,Private room,55.4,2,127,4.67,283,1
350,Listing 350,Noord,Noord area,Entire home/apt,123.77,7,260,3.94,96,1
351,Listing 351,Oud-West,Oud-West area,Entire home/apt,142.87,1,36,4.98,270,6
352,Listing 352,Jordaan,Jordaan area,Entire home/apt,175.31,1,215,4.64,187,2
353,Listing 353,Centrum,Centrum area,Private room,103.89,2,30,4.44,203,7
354,Listing 354,Westerpark,Westerpark area,Private room,53.71,1,42,3.92,327,5
355,Listing 355,De Pijp,De Pijp area,Entire home/apt,140.53,7,274,4.38,167,2
356,Listing 356,Noord,Noord area,Private room,82.28,2,122,3.63,29,7
357,Listing 357,De Pijp,De Pijp area,Entire home/apt,116.66,1,89,4.56,61,1
358,Listing 358,Jordaan,Jordaan area,Entire home/apt,149.13,2,177,3.75,267,3
359,Listing 359,Noord,Noord area,Private room,79.14,2,171,4.29,219,5
360,Listing 360,Slotervaart,Slotervaart area,Private room,71.49,3,254,3.58,233,3
361,Listing 361,Oost,Oost area,Entire home/apt,116.19,1,59,3.57,116,1
362,Listing 362,Oud-West,Oud-West area,Entire home/apt,83.06,1,186,3.77,196,1
363,Listing 363,Bos en Lommer,Bos en Lommer area,Private room,38.45,2,114,4.12,164,6
364,Listing 364,Noord,Noord area,Private room,25,1,190,3.77,61,1
365,Listing 365,Westerpark,Westerpark area,Entire home/apt,89.1,1,159,4.33,167,1
366,Listing 366,Oost,Oost area,Entire home/apt,113.54,2,155,4.2,318,8
367,Listing 367,Oud-West,Oud-West area,Private room,28.36,7,77,3.54,3,6
368,Listing 368,Centrum,Centrum area,Hotel room,133.72,7,0,,336,5
369,Listing 369,De Pijp,De Pijp area,Entire home/apt,150.75,2,30,3.64,72,4
370,Listing 370,Bos en Lommer,Bos en Lommer area,Entire home/apt,87.79,1,190,4.37,234,3
371,Listing 371,Westerpark,Westerpark area,Entire home/apt,85.54,2,66,3.89,121,6
372,Listing 372,Westerpark,Westerpark area,Private room,43.67,14,167,3.91,162,2
373,Listing 373,Oud-West,Oud-West area,Entire home/apt,126.21,14,54,4.2,84,7
374,Listing 374,De Pijp,De Pijp area,Entire home/apt,120.47,2,106,4.2,231,2
375,Listing 375,De Pijp,De Pijp area,Entire home/apt,115.36,3,20,3.72,110,4
376,Listing 376,Oost,Oost area,Entire home/apt,75.55,2,25,3.89,346,3
377,Listing 377,Centrum,Centrum area,Hotel room,159.57,14,127,3.65,48,3
378,Listing 378,De Pijp,De Pijp area,Entire home/apt,109.82,2,113,4.74,66,6
379,Listing 379,De Pijp,De Pijp area,Private room,62.97,2,11,4.85,33,8
380,Listing 380,Jordaan,Jordaan area,Entire home/apt,196.55,1,169,4.91,62,1
381,Listing 381,Jordaan,Jordaan area,Shared room,25,7,254,4.52,15,3
382,Listing 382,Oost,Oost area,Entire home/apt,123.09,2,95,4.17,140,3
383,Listing 383,Centrum,Centrum area,Private room,68.58,14,255,3.59,210,5
384,Listing 384,Westerpark,Westerpark area,Entire home/apt,85.64,2,102,4.45,329,1
385,Listing 385,Westerpark,Westerpark area,Private room,36.62,3,248,4.08,176,3
386,Listing 386,Centrum,Centrum area,Entire home/apt,199.42,2,112,3.59,15,8
387,Listing 387,Bos en Lommer,Bos en Lommer area,Entire home/apt,77.42,2,81,4.49,51,5
388,Listing 388,Bos en Lommer,Bos en Lommer area,Private room,37.67,7,28,4.03,112,3
389,Listing 389,Jordaan,Jordaan area,Entire home/apt,146.43,1,183,4.56,302,6
390,Listing 390,Slotervaart,Slotervaart area,Private room,72.3,2,96,3.76,252,1
391,Listing 391,De Pijp,De Pijp area,Entire home/apt,126.78,3,244,4.88,0,4
392,Listing 392,Jordaan,Jordaan area,Entire home/apt,157.61,1,90,3.53,165,3
393,Listing 393,De Pijp,De Pijp area,Private room,97.58,7,191,4.38,360,6
394,Listing 394,Noord,Noord area,Entire home/apt,55.95,14,80,4.47,223,3
395,Listing 395,Bos en Lommer,Bos en Lommer area,Private room,76.72,1,114,4.07,340,5
396,Listing 396,Jordaan,Jordaan area,Entire home/apt,144.79,7,0,,359,1
397,Listing 397,Jordaan,Jordaan area,Private room,126.05,1,113,4.91,327,3
398,Listing 398,Oost,Oost area,Private room,30.07,3,121,3.75,177,2
399,Listing 399,Oost,Oost area,Entire home/apt,108.55,2,34,4.68,179,1
400,Listing 400,Centrum,Centrum area,Entire home/apt,195.09,7,214,4.24,85,7
401,Listing 401,Oost,Oost area,Entire home/apt,128.37,14,115,3.61,83,1
402,Listing 402,Noord,Noord area,Entire home/apt,108.6,1,133,4.01,53,7
403,Listing 403,Jordaan,Jordaan area,Private room,39.11,14,47,4.56,173,7
404,Listing 404,Jordaan,Jordaan area,Private room,67.55,1,222,3.65,80,4
405,Listing 405,Oud-West,Oud-West area,Entire home/apt,82.02,2,276,3.95,135,2
406,Listing 406,Centrum,Centrum area,Entire home/apt,164.8,1,251,4.04,78,7
407,Listing 407,De Pijp,De Pijp area,Entire home/apt,115.78,1,102,3.81,49,5
408,Listing 408,De Pijp,De Pijp area,Entire home/apt,106.95,7,59,4.21,157,5
409,Listing 409,De Pijp,De Pijp area,Private room,50.35,1,195,4.17,189,5
410,Listing 410,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,112.51,1,115,3.73,137,2
411,Listing 411,De Pijp,De Pijp area,Private room,72.39,1,116,4.76,283,7
412,Listing 412,Bos en Lommer,Bos en Lommer area,Private room,25.69,2,243,4.21,293,2
413,Listing 413,Westerpark,Westerpark area,Shared room,26.25,1,264,3.68,292,8
414,Listing 414,Jordaan,Jordaan area,Shared room,25,2,85,3.69,108,7
415,Listing 415,De Pijp,De Pijp area,Hotel room,40.86,2,75,3.98,304,2
416,Listing 416,De Pijp,De Pijp area,Entire home/apt,157.14,3,203,4.78,282,8
417,Listing 417,Centrum,Centrum area,Private room,72.59,7,214,3.72,57,2
418,Listing 418,De Pijp,De Pijp area,Private room,48.01,3,51,4.82,146,5
419,Listing 419,Westerpark,Westerpark area,Private room,32.14,7,88,3.72,141,7
420,Listing 420,Centrum,Centrum area,Entire home/apt,170.1,2,169,3.57,353,8
421,Listing 421,Noord,Noord area,Private room,84.08,2,155,4.76,159,2
422,Listing 422,Oud-West,Oud-West area,Entire home/apt,129.68,2,226,4.59,164,2
423,Listing 423,Oud-West,Oud-West area,Entire home/apt,142.5,3,248,4.73,264,3
424,Listing 424,De Pijp,De Pijp area,Entire home/apt,119.42,1,259,4.67,206,1
425,Listing 425,Jordaan,Jordaan area,Entire home/apt,178.96,14,127,3.58,16,6
426,Listing 426,Oud-West,Oud-West area,Entire home/apt,91.96,7,237,4.45,258,2
427,Listing 427,Centrum,Centrum area,Entire home/apt,158.31,3,242,4.02,300,5
428,Listing 428,De Pijp,De Pijp area,Entire home/apt,131.53,1,197,4.78,25,4
429,Listing 429,Oud-West,Oud-West area,Private room,55.55,1,209,4.8,262,1
430,Listing 430,Watergraafsmeer,Watergraafsmeer area,Shared room,25,1,88,3.84,307,5
431,Listing 431,Noord,Noord area,Entire home/apt,81.78,14,129,3.95,111,7
432,Listing 432,Slotervaart,Slotervaart area,Entire home/apt,97.97,3,261,4.34,339,5
433,Listing 433,Noord,Noord area,Private room,29.51,3,141,4.79,327,5
434,Listing 434,Noord,Noord area,Entire home/apt,97.07,1,264,4.71,123,7
435,Listing 435,Oost,Oost area,Private room,49.76,7,151,4.11,132,1
436,Listing 436,Slotervaart,Slotervaart area,Private room,25,2,97,4.53,175,8
437,Listing 437,Oost,Oost area,Entire home/apt,131.63,1,92,4.21,150,5
438,Listing 438,Bos en Lommer,Bos en Lommer area,Private room,25,3,93,4.48,348,4
439,Listing 439,Oost,Oost area,Entire home/apt,124.44,2,169,4.38,190,8
440,Listing 440,De Pijp,De Pijp area,Entire home/apt,114.9,2,36,4.25,241,7
441,Listing 441,Bos en Lommer,Bos en Lommer area,Entire home/apt,127.01,3,70,4.11,102,8
442,Listing 442,Jordaan,Jordaan area,Entire home/apt,173.08,14,92,4.0,41,3
443,Listing 443,Oost,Oost area,Private room,70.98,1,86,4.23,295,2
444,Listing 444,Jordaan,Jordaan area,Private room,80.47,7,219,4.95,206,7
445,Listing 445,Centrum,Centrum area,Entire home/apt,186.04,2,7,3.53,164,1
446,Listing 446,Oud-West,Oud-West area,Entire home/apt,143.36,1,176,3.65,159,5
447,Listing 447,Jordaan,Jordaan area,Entire home/apt,206.71,3,233,4.15,266,3
448,Listing 448,Oost,Oost area,Hotel room,101.8,2,250,3.75,183,7
449,Listing 449,Centrum,Centrum area,Entire home/apt,178.48,1,11,3.68,301,1
450,Listing 450,Westerpark,Westerpark area,Private room,42.0,1,130,4.39,273,1
451,Listing 451,De Pijp,De Pijp area,Private room,95.36,7,213,3.69,227,5
452,Listing 452,Watergraafsmeer,Watergraafsmeer area,Private room,53.79,1,105,3.95,355,2
453,Listing 453,Bos en Lommer,Bos en Lommer area,Entire home/apt,81.44,1,53,3.92,261,2
454,Listing 454,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,93.31,2,102,4.04,134,7
455,Listing 455,Noord,Noord area,Entire home/apt,53.07,2,246,3.5,169,2
456,Listing 456,De Pijp,De Pijp area,Private room,51.92,1,252,4.67,76,2
457,Listing 457,De Pijp,De Pijp area,Shared room,25.39,14,151,3.58,135,3
458,Listing 458,Centrum,Centrum area,Private room,72.6,3,184,4.14,346,2
459,Listing 459,De Pijp,De Pijp area,Private room,67.15,1,70,3.99,339,8
460,Listing 460,Slotervaart,Slotervaart area,Entire home/apt,83.23,3,47,3.77,190,7
461,Listing 461,Westerpark,Westerpark area,Hotel room,81.3,1,244,3.67,215,1
462,Listing 462,Jordaan,Jordaan area,Entire home/apt,179.56,14,247,3.77,291,7
463,Listing 463,Oost,Oost area,Private room,81.76,14,66,3.67,247,7
464,Listing 464,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,68.7,3,133,3.52,335,4
465,Listing 465,Oost,Oost area,Entire home/apt,99.5,2,221,4.22,338,7
466,Listing 466,Jordaan,Jordaan area,Private room,54.31,1,27,4.26,5,8
467,Listing 467,Watergraafsmeer,Watergraafsmeer area,Private room,70.74,2,123,3.58,169,4
468,Listing 468,Bos en Lommer,Bos en Lommer area,Private room,55.54,1,206,4.19,120,8
469,Listing 469,De Pijp,De Pijp area,Private room,55.5,1,254,3.65,334,7
470,Listing 470,Centrum,Centrum area,Private room,93.28,2,0,,46,4
471,Listing 471,Watergraafsmeer,Watergraafsmeer area,Hotel room,75.63,3,114,4.34,232,8
472,Listing 472,Oost,Oost area,Private room,60.06,2,58,3.5,49,6
473,Listing 473,Noord,Noord area,Entire home/apt,88.34,1,84,4.73,252,7
474,Listing 474,De Pijp,De Pijp area,Entire home/apt,136.75,1,100,4.9,96,7
475,Listing 475,Oud-West,Oud-West area,Entire home/apt,131.23,1,55,4.89,212,2
476,Listing 476,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,68.85,14,258,3.51,68,1
477,Listing 477,Bos en Lommer,Bos en Lommer area,Shared room,39.16,1,260,4.6,90,3
478,Listing 478,De Pijp,De Pijp area,Entire home/apt,110.51,7,164,4.13,258,4
479,Listing 479,Noord,Noord area,Entire home/apt,85.8,7,68,4.4,70,5
480,Listing 480,Bos en Lommer,Bos en Lommer area,Private room,58.93,2,111,4.44,102,5
481,Listing 481,Oost,Oost area,Shared room,54.17,3,91,4.57,257,6
482,Listing 482,Bos en Lommer,Bos en Lommer area,Entire home/apt,113.31,2,213,4.82,345,7
483,Listing 483,Centrum,Centrum area,Entire home/apt,191.07,2,28,4.63,102,3
484,Listing 484,Noord,Noord area,Private room,49.27,2,74,3.81,31,1
485,Listing 485,Oost,Oost area,Private room,87.19,7,114,3.86,331,5
486,Listing 486,Centrum,Centrum area,Shared room,78.16,3,198,4.95,213,1
487,Listing 487,Centrum,Centrum area,Private room,101.71,3,226,4.63,115,4
488,Listing 488,Oud-West,Oud-West area,Entire home/apt,163.57,1,90,3.78,349,3
489,Listing 489,Bos en Lommer,Bos en Lommer area,Entire home/apt,105.66,1,135,4.38,66,5
490,Listing 490,Centrum,Centrum area,Entire home/apt,184.09,1,79,4.89,20,1
491,Listing 491,Slotervaart,Slotervaart area,Private room,31.34,3,183,4.29,37,3
492,Listing 492,Bos en Lommer,Bos en Lommer area,Entire home/apt,123.52,7,258,4.31,81,7
493,Listing 493,De Pijp,De Pijp area,Entire home/apt,151.94,2,169,3.83,184,8
494,Listing 494,Bos en Lommer,Bos en Lommer area,Private room,25.26,3,4,4.17,58,4
495,Listing 495,Centrum,Centrum area,Private room,70.81,2,58,4.31,197,5
496,Listing 496,Centrum,Centrum area,Shared room,94.16,14,191,4.23,263,5
497,Listing 497,Oud-West,Oud-West area,Entire home/apt,132.81,1,275,4.44,273,4
498,Listing 498,Oud-West,Oud-West area,Private room,66.94,2,217,4.31,53,7
499,Listing 499,De Pijp,De Pijp area,Private room,77.61,1,169,3.61,19,3
500,Listing 500,Noord,Noord area,Private room,65.74,7,116,4.08,132,7
501,Listing 501,Westerpark,Westerpark area,Entire home/apt,97.29,1,3,4.63,328,1
502,Listing 502,De Pijp,De Pijp area,Entire home/apt,136.42,2,257,4.68,54,5
503,Listing 503,Slotervaart,Slotervaart area,Entire home/apt,87.06,1,202,4.21,338,4
504,Listing 504,Jordaan,Jordaan area,Private room,58.64,1,279,3.95,151,6
505,Listing 505,Centrum,Centrum area,Private room,80.35,7,2,4.31,293,2
506,Listing 506,Noord,Noord area,Entire home/apt,91.52,7,176,4.86,108,3
507,Listing 507,Jordaan,Jordaan area,Entire home/apt,148.67,1,58,4.78,92,8
508,Listing 508,Bos en Lommer,Bos en Lommer area,Entire home/apt,79.77,1,34,3.8,128,8
509,Listing 509,Oost,Oost area,Entire home/apt,103.06,1,145,4.85,317,6
510,Listing 510,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,87.13,1,156,4.35,355,6
511,Listing 511,Oost,Oost area,Hotel room,96.48,7,113,3.92,364,6
512,Listing 512,Jordaan,Jordaan area,Private room,95.12,14,169,4.17,245,5
513,Listing 513,Watergraafsmeer,Watergraafsmeer area,Private room,62.29,2,143,3.89,71,2
514,Listing 514,De Pijp,De Pijp area,Private room,89.4,1,259,4.72,323,7
515,Listing 515,Slotervaart,Slotervaart area,Entire home/apt,100.13,1,276,4.05,241,4
516,Listing 516,Slotervaart,Slotervaart area,Private room,46.05,14,148,4.25,68,2
517,Listing 517,Westerpark,Westerpark area,Entire home/apt,119.74,1,84,4.17,263,3
518,Listing 518,Slotervaart,Slotervaart area,Shared room,26.48,3,74,3.56,247,8
519,Listing 519,Oud-West,Oud-West area,Entire home/apt,120.97,3,105,4.08,265,8
520,Listing 520,Centrum,Centrum area,Entire home/apt,184.33,2,165,4.75,52,5
521,Listing 521,Slotervaart,Slotervaart area,Entire home/apt,98.41,1,187,4.27,300,7
522,Listing 522,Oud-West,Oud-West area,Entire home/apt,150.85,14,180,4.69,176,1
523,Listing 523,Bos en Lommer,Bos en Lommer area,Private room,31.56,2,263,3.82,329,3
524,Listing 524,Jordaan,Jordaan area,Entire home/apt,165.33,2,60,4.12,338,6
525,Listing 525,De Pijp,De Pijp area,Entire home/apt,116.36,7,82,3.53,331,1
526,Listing 526,Jordaan,Jordaan area,Private room,81.83,1,82,4.84,68,3
527,Listing 527,Centrum,Centrum area,Entire home/apt,201.31,1,207,4.82,306,5
528,Listing 528,De Pijp,De Pijp area,Entire home/apt,118.71,1,241,3.83,246,7
529,Listing 529,Slotervaart,Slotervaart area,Entire home/apt,55.34,1,261,4.59,135,6
530,Listing 530,Watergraafsmeer,Watergraafsmeer area,Private room,33.05,7,35,4.08,117,2
531,Listing 531,Centrum,Centrum area,Entire home/apt,195.06,1,214,3.77,76,1
532,Listing 532,Bos en Lommer,Bos en Lommer area,Entire home/apt,71.7,14,60,4.49,47,1
533,Listing 533,Westerpark,Westerpark area,Entire home/apt,100.91,2,271,4.91,219,8
534,Listing 534,Westerpark,Westerpark area,Entire home/apt,109.34,1,50,3.88,217,4
535,Listing 535,De Pijp,De Pijp area,Entire home/apt,144.66,1,96,4.37,2,2
536,Listing 536,Bos en Lommer,Bos en Lommer area,Entire home/apt,75.67,3,105,4.11,352,2
537,Listing 537,Jordaan,Jordaan area,Entire home/apt,146.62,3,274,4.42,216,7
538,Listing 538,Oud-West,Oud-West area,Entire home/apt,117.05,3,247,4.34,91,8
539,Listing 539,Noord,Noord area,Hotel room,45.52,1,203,4.62,70,8
540,Listing 540,Jordaan,Jordaan area,Entire home/apt,143.83,3,260,4.7,205,1
541,Listing 541,Jordaan,Jordaan area,Entire home/apt,136.26,7,74,3.63,241,5
542,Listing 542,Oud-West,Oud-West area,Entire home/apt,97.77,7,19,4.42,196,5
543,Listing 543,Slotervaart,Slotervaart area,Entire home/apt,86.84,1,253,3.8,224,5
544,Listing 544,Oud-West,Oud-West area,Entire home/apt,112.72,2,261,4.42,264,1
545,Listing 545,Oost,Oost area,Entire home/apt,121.71,3,141,4.5,204,7
546,Listing 546,Slotervaart,Slotervaart area,Entire home/apt,85.02,1,7,4.88,360,5
547,Listing 547,Bos en Lommer,Bos en Lommer area,Shared room,25,2,141,4.18,115,7
548,Listing 548,Slotervaart,Slotervaart area,Entire home/apt,126.96,1,89,4.34,208,5
549,Listing 549,Oost,Oost area,Shared room,49.37,2,275,4.54,294,7
550,Listing 550,Slotervaart,Slotervaart area,Entire home/apt,37.63,14,124,4.52,173,1
551,Listing 551,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,125.83,2,112,4.7,346,7
552,Listing 552,Oost,Oost area,Entire home/apt,121.67,2,4,3.87,358,2
553,Listing 553,Westerpark,Westerpark area,Private room,55.93,3,91,4.03,243,5
554,Listing 554,Jordaan,Jordaan area,Shared room,40.83,2,97,3.85,255,4
555,Listing 555,Noord,Noord area,Entire home/apt,99.43,1,182,3.68,79,2
556,Listing 556,Watergraafsmeer,Watergraafsmeer area,Private room,64.5,14,277,4.06,21,6
557,Listing 557,Watergraafsmeer,Watergraafsmeer area,Private room,69.17,1,140,4.98,251,5
558,Listing 558,Westerpark,Westerpark area,Entire home/apt,87.22,7,65,4.22,27,1
559,Listing 559,Bos en Lommer,Bos en Lommer area,Entire home/apt,112.12,14,234,3.97,61,1
560,Listing 560,Centrum,Centrum area,Private room,63.4,1,194,3.99,297,5
561,Listing 561,Jordaan,Jordaan area,Entire home/apt,161.82,1,175,4.25,187,4
562,Listing 562,Westerpark,Westerpark area,Private room,75.01,7,190,3.92,186,3
563,Listing 563,Slotervaart,Slotervaart area,Entire home/apt,72.2,2,51,4.33,138,7
564,Listing 564,Oud-West,Oud-West area,Entire home/apt,118.39,1,76,3.76,242,8
565,Listing 565,Jordaan,Jordaan area,Hotel room,142.11,2,161,3.88,249,1
566,Listing 566,Westerpark,Westerpark area,Entire home/apt,85.43,2,83,4.72,30,8
567,Listing 567,De Pijp,De Pijp area,Entire home/apt,120.4,1,131,4.12,176,6
568,Listing 568,Slotervaart,Slotervaart area,Entire home/apt,101.31,2,275,4.03,89,8
569,Listing 569,Watergraafsmeer,Watergraafsmeer area,Private room,37.94,3,74,4.13,85,7
570,Listing 570,De Pijp,De Pijp area,Entire home/apt,141.17,3,175,3.98,116,5
571,Listing 571,Noord,Noord area,Private room,25,14,185,4.12,300,3
572,Listing 572,Centrum,Centrum area,Entire home/apt,205.54,2,120,4.91,338,2
573,Listing 573,Oud-West,Oud-West area,Entire home/apt,130.79,1,242,3.54,280,7
574,Listing 574,Bos en Lommer,Bos en Lommer area,Private room,49.38,2,42,4.43,53,2
575,Listing 575,Westerpark,Westerpark area,Entire home/apt,105.27,1,64,3.54,67,6
576,Listing 576,Oost,Oost area,Private room,71.35,2,239,4.32,276,3
577,Listing 577,Bos en Lommer,Bos en Lommer area,Entire home/apt,66.9,2,222,4.86,268,8
578,Listing 578,Bos en Lommer,Bos en Lommer area,Entire home/apt,73.75,2,45,4.05,226,5
579,Listing 579,Jordaan,Jordaan area,Entire home/apt,196.76,2,69,4.2,176,1
580,Listing 580,Watergraafsmeer,Watergraafsmeer area,Shared room,30.02,1,244,4.65,153,5
581,Listing 581,Slotervaart,Slotervaart area,Entire home/apt,104.33,7,210,4.09,287,3
582,Listing 582,Westerpark,Westerpark area,Private room,53.38,1,112,4.13,134,4
583,Listing 583,Bos en Lommer,Bos en Lommer area,Private room,75.65,2,139,4.12,145,2
584,Listing 584,Jordaan,Jordaan area,Entire home/apt,140.54,14,56,4.43,326,5
585,Listing 585,Slotervaart,Slotervaart area,Entire home/apt,80.07,1,273,4.96,11,5
586,Listing 586,Noord,Noord area,Entire home/apt,105.38,2,224,3.64,4,1
587,Listing 587,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,69.21,14,255,4.55,190,1
588,Listing 588,Oost,Oost area,Entire home/apt,126.87,2,74,4.66,28,2
589,Listing 589,Bos en Lommer,Bos en Lommer area,Entire home/apt,103.64,1,195,4.96,6,4
590,Listing 590,Westerpark,Westerpark area,Private room,88.39,1,226,3.8,126,2
591,Listing 591,Bos en Lommer,Bos en Lommer area,Private room,50.13,1,159,4.44,165,1
592,Listing 592,Bos en Lommer,Bos en Lommer area,Entire home/apt,109.18,2,129,3.8,246,1
593,Listing 593,Oud-West,Oud-West area,Hotel room,101.88,2,7,4.38,85,7
594,Listing 594,Oud-West,Oud-West area,Entire home/apt,146.26,14,21,4.53,297,3
595,Listing 595,Oost,Oost area,Private room,55.19,1,173,3.59,320,3
596,Listing 596,Bos en Lommer,Bos en Lommer area,Private room,68.54,2,64,3.98,249,6
597,Listing 597,Watergraafsmeer,Watergraafsmeer area,Private room,69.31,1,68,4.23,128,8
598,Listing 598,Bos en Lommer,Bos en Lommer area,Entire home/apt,92.61,1,250,4.32,97,6
599,Listing 599,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,121.7,1,82,4.17,35,5
600,Listing 600,Bos en Lommer,Bos en Lommer area,Entire home/apt,51.32,7,0,,326,3
601,Listing 601,Centrum,Centrum area,Private room,71.72,7,164,3.78,32,8
602,Listing 602,Bos en Lommer,Bos en Lommer area,Entire home/apt,110.98,7,144,4.46,165,2
603,Listing 603,De Pijp,De Pijp area,Entire home/apt,164.69,1,66,3.8,91,8
604,Listing 604,Oud-West,Oud-West area,Entire home/apt,140.45,14,198,4.29,336,5
605,Listing 605,Centrum,Centrum area,Entire home/apt,173.97,14,106,4.89,335,2
606,Listing 606,Watergraafsmeer,Watergraafsmeer area,Private room,45.26,7,31,4.73,184,1
607,Listing 607,Slotervaart,Slotervaart area,Entire home/apt,92.39,2,155,4.94,39,2
608,Listing 608,De Pijp,De Pijp area,Private room,66.93,2,272,3.79,197,4
609,Listing 609,Slotervaart,Slotervaart area,Private room,56.87,3,212,4.51,54,7
610,Listing 610,De Pijp,De Pijp area,Entire home/apt,160.0,7,92,4.26,281,3
611,Listing 611,Bos en Lommer,Bos en Lommer area,Hotel room,54.54,3,161,4.77,281,7
612,Listing 612,Westerpark,Westerpark area,Private room,59.03,2,165,4.34,311,4
613,Listing 613,Westerpark,Westerpark area,Private room,66.19,7,231,3.5,229,1
614,Listing 614,Noord,Noord area,Private room,40.65,2,265,3.51,69,4
615,Listing 615,Oud-West,Oud-West area,Private room,99.31,1,141,3.64,283,8
616,Listing 616,Oost,Oost area,Entire home/apt,115.05,2,135,3.85,187,5
617,Listing 617,De Pijp,De Pijp area,Private room,52.29,14,39,3.76,166,2
618,Listing 618,Slotervaart,Slotervaart area,Private room,36.61,7,19,3.62,295,1
619,Listing 619,Oost,Oost area,Entire home/apt,118.5,1,61,4.45,116,7
620,Listing 620,Centrum,Centrum area,Entire home/apt,161.06,1,21,3.99,163,4
621,Listing 621,Jordaan,Jordaan area,Entire home/apt,157.69,1,228,3.83,304,5
622,Listing 622,Westerpark,Westerpark area,Entire home/apt,85.15,14,172,4.36,42,1
623,Listing 623,Bos en Lommer,Bos en Lommer area,Entire home/apt,110.32,14,66,4.34,69,8
624,Listing 624,Westerpark,Westerpark area,Private room,64.53,2,100,3.86,287,5
625,Listing 625,Westerpark,Westerpark area,Entire home/apt,112.7,3,211,4.02,216,6
626,Listing 626,Oost,Oost area,Private room,51.02,1,12,4.98,156,8
627,Listing 627,Slotervaart,Slotervaart area,Entire home/apt,120.47,3,102,3.73,350,2
628,Listing 628,De Pijp,De Pijp area,Private room,75.28,1,124,4.8,317,5
629,Listing 629,Centrum,Centrum area,Entire home/apt,185.71,3,241,3.81,11,4
630,Listing 630,Oud-West,Oud-West area,Entire home/apt,108.92,14,132,4.43,280,3
631,Listing 631,Centrum,Centrum area,Entire home/apt,200.32,1,130,3.93,87,5
632,Listing 632,Centrum,Centrum area,Entire home/apt,166.38,7,4,4.49,34,6
